checkpoint,composite,component,negative,component_similarity,negative_similarity,valid
1000,compositional:copy_then_uppercase,simple:copying,math:arithmetic,-0.01869556037016792,0.14558461389827118,False
1000,compositional:copy_then_uppercase,simple:uppercase,math:arithmetic,0.48898694276687427,0.14558461389827118,True
1000,compositional:first_letter_then_uppercase,simple:first_letter,math:arithmetic,0.2503558622688899,-0.0411233488718505,True
1000,compositional:first_letter_then_uppercase,simple:uppercase,math:arithmetic,0.15736753833964226,-0.0411233488718505,True
5000,compositional:copy_then_uppercase,simple:copying,math:arithmetic,-0.015589428832092423,-0.03858507881232443,True
5000,compositional:copy_then_uppercase,simple:uppercase,math:arithmetic,-0.3380609527514884,-0.03858507881232443,False
5000,compositional:first_letter_then_uppercase,simple:first_letter,math:arithmetic,-0.04663738304629763,0.08347507701770487,False
5000,compositional:first_letter_then_uppercase,simple:uppercase,math:arithmetic,0.13686148005472196,0.08347507701770487,True
10000,compositional:copy_then_uppercase,simple:copying,math:arithmetic,-0.16907356026928538,0.18476658234585266,False
10000,compositional:copy_then_uppercase,simple:uppercase,math:arithmetic,-0.22183546036980673,0.18476658234585266,False
10000,compositional:first_letter_then_uppercase,simple:first_letter,math:arithmetic,-0.14516805955426346,-0.2160191021378425,True
10000,compositional:first_letter_then_uppercase,simple:uppercase,math:arithmetic,-0.14118401976980482,-0.2160191021378425,True
20000,compositional:copy_then_uppercase,simple:copying,math:arithmetic,0.059084706213731575,0.12695727349212582,False
20000,compositional:copy_then_uppercase,simple:uppercase,math:arithmetic,-0.013708848857127481,0.12695727349212582,False
20000,compositional:first_letter_then_uppercase,simple:first_letter,math:arithmetic,-0.11525490731449238,0.21285123452081497,False
20000,compositional:first_letter_then_uppercase,simple:uppercase,math:arithmetic,0.14574717537381865,0.21285123452081497,False
50000,compositional:copy_then_uppercase,simple:copying,math:arithmetic,0.2718342374716589,0.24084099771739054,True
50000,compositional:copy_then_uppercase,simple:uppercase,math:arithmetic,0.22498464231798435,0.24084099771739054,False
50000,compositional:first_letter_then_uppercase,simple:first_letter,math:arithmetic,0.1393890311281865,-0.17574253258697073,True
50000,compositional:first_letter_then_uppercase,simple:uppercase,math:arithmetic,-0.20139574733410404,-0.17574253258697073,False
100000,compositional:copy_then_uppercase,simple:copying,math:arithmetic,0.6500624082671423,0.1716513835282905,True
100000,compositional:copy_then_uppercase,simple:uppercase,math:arithmetic,0.7583746947251286,0.1716513835282905,True
100000,compositional:first_letter_then_uppercase,simple:first_letter,math:arithmetic,0.5457370121565472,-0.11503739751726043,True
100000,compositional:first_letter_then_uppercase,simple:uppercase,math:arithmetic,0.6282723564229992,-0.11503739751726043,True
