model,checkpoint,rank_stability_to_final
LLM360-like,1000,
LLM360-like,3000,0.6642111641550715
LLM360-like,5000,0.6642111641550715
LLM360-like,10000,0.8574929257125441
LLM360-like,20000,0.9851843661437779
LLM360-like,50000,1.0
LLM360-like,100000,1.0
OLMo-like,1000,
OLMo-like,3000,
OLMo-like,5000,0.6642111641550715
OLMo-like,10000,0.8574929257125441
OLMo-like,20000,0.9851843661437779
OLMo-like,50000,1.0
OLMo-like,100000,1.0
OLMo2-like,1000,
OLMo2-like,3000,
OLMo2-like,5000,0.8528028654224418
OLMo2-like,10000,0.8528028654224418
OLMo2-like,20000,0.9847319278346619
OLMo2-like,50000,0.9999999999999999
OLMo2-like,100000,0.9999999999999999
